product	contig_count
(d)CMP kinase	1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	1
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	98
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	7
23S rRNA methyltransferase attenuation leader peptide	79
23S rRNA methyltransferase attenuator leader peptide ErmL	5
3-dehydroquinate synthase	1
3-phosphoshikimate 1-carboxyvinyltransferase	17
30S ribosomal protein S16	1
30S ribosomal protein S21	1
4-alpha-glucanotransferase	1
5-deoxy-D-ribulose 1-phosphate aldolase	2
50S ribosomal protein L10	1
50S ribosomal protein L19	1
50S ribosomal protein L20	1
50S ribosomal protein L21	1
50S ribosomal protein L27	1
50S ribosomal protein L35	1
50S ribosomal protein L7/L12	1
8-oxo-dGTP diphosphatase	1
AAA family ATPase	138
ABC transporter ATP-binding protein	145
ABC transporter ATP-binding protein YxdL	3
ABC transporter permease	8
ABC transporter permease protein YxdM	1
ABC transporter substrate-binding protein	5
ABC transporter substrate-binding protein/permease	1
ASCH domain-containing protein	1
ATP phosphoribosyltransferase	1
ATP phosphoribosyltransferase regulatory subunit	1
ATP-binding cassette domain-containing protein	4
ATP-binding protein	9
ATP-dependent helicase	2
ATP-grasp domain-containing protein	3
ATPase AAA	57
Abi family protein	89
Aminoglycoside 3'-phosphotransferase	14
Aminoglycoside 6-adenylyltransferase	13
Antitoxin PezA	41
Antitoxin epsilon	6
AraC family transcriptional regulator	2
Bacitracin export permease protein BceB	2
Bacitracin transport ATP-binding protein BcrA	44
Bifunctional chorismate mutase/prephenate dehydratase	9
C5a peptidase	1
CD0415/CD1112 family protein	2
CD1845 family protein	1
CHAP domain-containing protein	2
CPBP family intramembrane glutamic endopeptidase	104
CPBP family intramembrane metalloprotease	33
Cadmium resistance transcriptional regulatory protein CadC	1
CapA family protein	1
CdaR family protein	1
Chromosome-partitioning ATPase Soj	5
ClC family H(+)/Cl(-) exchange transporter	1
ClbS/DfsB family four-helix bundle protein	1
Copper-exporting P-type ATPase	1
Copper-exporting P-type ATPase B	1
CsbD family protein	1
D-alanine--D-alanine ligase	1
DEAD/DEAH box helicase family protein	7
DNA (cytosine-5-)-methyltransferase	24
DNA cytosine methyltransferase	2
DNA gyrase subunit B	1
DNA primase	3
DNA topoisomerase	1
DNA topoisomerase (ATP-hydrolyzing) subunit B	2
DNA topoisomerase 3	1
DNA/RNA non-specific endonuclease	1
DUF1430 domain-containing protein	2
DUF1972 domain-containing protein	1
DUF2142 domain-containing protein	1
DUF2304 domain-containing protein	1
DUF3173 family protein	8
DUF3801 domain-containing protein	1
DUF3847 domain-containing protein	4
DUF3990 domain-containing protein	4
DUF4044 domain-containing protein	1
DUF4135 domain-containing protein	2
DUF4177 domain-containing protein	1
DUF4366 domain-containing protein	2
DUF5945 family protein	143
DUF5960 family protein	13
DUF5962 family protein	141
DUF5965 family protein	142
DUF5966 family protein	139
DUF6017 domain-containing protein	2
DUF6287 domain-containing protein	1
DUF6290 family protein	4
DUF6414 family protein	2
