protein_acc	n	nucleotide_acc	taxid	superkingdom	phylum	class	order	family	genus	species	type	evalue
WP_001058290.1	622	NZ_WNJJ01000001.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_WNJJ01000001.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_WNIR01000003.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_WNIR01000003.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_WIDP01000009.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_WIDP01000009.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_VZNW01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZNW01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZNQ01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZNQ01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZNI01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZNI01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZMT01000017.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZMT01000017.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZMS01000017.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZMS01000017.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZMO01000012.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZMO01000012.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZMJ01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
