V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
GCA_000691445.1_CAMRasm9.fna,-,-,"","","","","","","","","",""
GCA_023497965.3_ASM2349796v3.fna,bsubtilis,-,glpF(~88),ilvD(27?),pta(29),purH(34),pycA(28),rpoD(~2),tpiA(~28),"","",""
GCA_029536855.1_ASM2953685v1.fna,bsubtilis,-,glpF(75),ilvD(~109),pta(35),purH(83),pycA(79),rpoD(3),tpiA(1),"","",""
GCA_029761975.1_ASM2976197v1.fna,bsubtilis,-,glpF(~98),ilvD(109),pta(35),purH(~112),pycA(~84),rpoD(3),tpiA(1),"","",""
GCA_900458135.1_40757_E01.fna,saureus,-,arcC(6),aroE(1097?),glpF(51),gmk(47),pta(7),tpi(70?),yqiL(61),"","",""
GCA_918026835.1_ASM91802683v1.fna,-,-,"","","","","","","","","",""
GCA_000009785.1_ASM978v1.fna,-,-,"","","","","","","","","",""
GCA_000015745.1_ASM1574v1.fna,-,-,"","","","","","","","","",""
GCA_000025045.1_ASM2504v1.fna,-,-,"","","","","","","","","",""
GCA_000159635.1_ASM15963v1.fna,-,-,"","","","","","","","","",""
GCA_000177595.1_ASM17759v1.fna,bsubtilis,7,glpF(9),ilvD(4),pta(6),purH(7),pycA(5),rpoD(4),tpiA(5),"","",""
GCA_000186445.1_ASM18644v1.fna,sagalactiae,-,adhP(13),pheS(1),atr(1),glnA(13),sdhA(1),glcK(171?),tkt(1),"","",""
GCA_000192705.1_ASM19270v1.fna,-,-,"","","","","","","","","",""
GCA_000227465.1_ASM22746v1.fna,bsubtilis,8,glpF(5),ilvD(5),pta(8),purH(8),pycA(6),rpoD(5),tpiA(7),"","",""
GCA_000231325.1_ASM23132v2.fna,ssuis,776,aroA(137),cpn60(145),dpr(204),gki(103),mutS(137),recA(38),thrA(98),"","",""
GCA_000270165.1_ASM27016v1.fna,sbsec,17,ddl(9),gki(9),glnA(8),mutS(10),mutS2(10),pheS(7),proS(6),pyrE(12),thrS(13),tpi(6)
GCA_000288435.1_ASM28843v1.fna,sagalactiae,88,adhP(5),pheS(10),atr(6),glnA(3),sdhA(2),glcK(1),tkt(3),"","",""
GCA_000288655.1_ASM28865v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_000289375.1_ASM28937v1.fna,sagalactiae,591,adhP(13),pheS(1),atr(6),glnA(13),sdhA(1),glcK(1),tkt(1),"","",""
GCA_000289395.1_ASM28939v1.fna,sagalactiae,591,adhP(13),pheS(1),atr(6),glnA(13),sdhA(1),glcK(1),tkt(1),"","",""
GCA_000289415.1_ASM28941v1.fna,sagalactiae,591,adhP(13),pheS(1),atr(6),glnA(13),sdhA(1),glcK(1),tkt(1),"","",""
GCA_000290195.1_ASM29019v1.fna,sagalactiae,88,adhP(5),pheS(10),atr(6),glnA(3),sdhA(2),glcK(1),tkt(3),"","",""
GCA_000308615.1_ASM30861v1.fna,-,-,"","","","","","","","","",""
GCA_000309845.1_Csp_Mad1.0.fna,-,-,"","","","","","","","","",""
GCA_000310365.1_ASM31036v1.fna,sagalactiae,67,adhP(13),pheS(1),atr(1),glnA(13),sdhA(1),glcK(1),tkt(5),"","",""
