nucleotide_acc,detail,mge_class,genus,species
NC_009328.1,pp2 ,prophage,g__Geobacillus,s__Geobacillus thermodenitrificans
NZ_CP015405.2,pp3 ,prophage,g__Blautia,s__Blautia pseudococcoides
NZ_CP022713.1,pp2 ,prophage,g__Blautia,s__Blautia pseudococcoides
NZ_WNJJ01000001.1,pp2 ,prophage,g__Streptococcus,s__Streptococcus agalactiae
NZ_CP065312.1,pp1 ,prophage,g__Blautia,s__Blautia pseudococcoides
NC_015600.1, NC_015600.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus pasteurianus
NC_015600.1, NC_015600.1_ICE7,ICE_element,g__Streptococcus,s__Streptococcus pasteurianus
NZ_AEYY01000049.1, NZ_AEYY01000049.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis_P
NZ_ALMJ01000010.1, NZ_ALMJ01000010.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_ALMJ01000010.1, NZ_ALMJ01000010.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_ALMQ01000002.1, NZ_ALMQ01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_ALNB01000002.1, NZ_ALNB01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_ALTM01000005.1, NZ_ALTM01000005.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_ALUP01000012.1, NZ_ALUP01000012.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_AP020310.1, NZ_AP020310.1_ICE14,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_ATWZ01000005.1, NZ_ATWZ01000005.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus equinus
NZ_AUWB01000020.1, NZ_AUWB01000020.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_AUWB01000020.1, NZ_AUWB01000020.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_BCCR01000016.1, NZ_BCCR01000016.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCCR01000016.1, NZ_BCCR01000016.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCDA01000017.1, NZ_BCDA01000017.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCDN01000002.1, NZ_BCDN01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCDN01000002.1, NZ_BCDN01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCEC01000028.1, NZ_BCEC01000028.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCEC01000028.1, NZ_BCEC01000028.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCEE01000029.1, NZ_BCEE01000029.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
